title,published_dt,sources,sections,urls,keep_reason,is_keep_override,excluded_reason
State Medicaid budgets to lose $664B under OBBBA: Study,2026-02-26T08:00:00+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMiogFBVV95cUxOVjZtYllteHVGWHlRNEhzNDk1NnI2QmlHaDVoeUxWSmJaUUZfSE1XaXJQMF9LdnlVS1Z3d1VrOGJRN1Y5Sy1SaWF4N1hsaUxHV2Y1RzFFX2RGcklZaFo4YTJPWk96SVBFSjBhN0FmMlhmV0JTeklENTFiZElDQVd0bFNjSG12a3kyU2E4ZmM5bS1OQ0s5NFhPOU9jblFsbDJzTVE?oc=5,Medicaid,True,
Employers are done being quiet about healthcare costs,2026-04-23T18:04:20+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMiogFBVV95cUxOeDZFaXQwQzRIeFBqeTZQZHREbWc1OWxGdDZPa1hnYnoxQS1ZbUN0OXFiNjBWMlpIeGRyWXd4T01UeTQwNTctNkx5bHZNQm1CTE9vc1BiT1BqTWZ0RjY5NXJTUTFXLVJLS2pHenczZjhVQ2xFZGhsN1JiQUFPaUtDTGtBM3k0dzNLZmJDcXdyZ1BZQlV3MUZFSi1hT3gtQVFwRVE?oc=5,,False,
A third player enters the AI arms race,2026-04-22T16:05:38+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMirwFBVV95cUxPdGJrUkh4RVdYWTUxdnhvcko2VVZXTzQ1Qm92LVBRUzM0TXphdk1JOGZ6TGtUaXhGLUZ0OFpXc1ZGd2RoRU00R0xPa2pDb3RjWlZqOGhmRlhFX0RQR21LYnhNSnBRMDBod1dfa1RRMWxxYngyekhtOWdNTE42TlRoM0szbWhPZzNpZUVSYjdtMTk3MlgtZGVNQzRrbExxNWFjRVJGRUxOWHgzcXVZQU80?oc=5,,False,
Scripps CEO: Hospitals running out of ways to cut costs,2026-04-20T17:36:57+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMiowFBVV95cUxPQkIxcWdGMDlwMUNfcmdkaEc3MDNiRE8yWmxQaGQyX1ladnhJMnhYdnBiMjhYYUZ5R1VTZ2JmbGJkSVZKdmpmMC1icWtyVHo1ZHBCcmNid0o4UmY0Z1Bja2FWVUdyb2ZQUlpLdkJGUFJyc1gxZ0dnTzAxNDdXR3RfdXBlQWh4TGtNbG9OYURid3RsOERWX19qMFpRY0lxYkduVFI0?oc=5,,False,
10 providers seeking RCM talent,2026-04-20T15:29:29+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPMHptWVcxQWs2X2ZOS0JwbXAxU1lQejQteTcyczFrZWM4czdxUE5sMVVpOU50V0pLQnpjU0pqMV9ueERnRHhxMjdtNWdrcHYyc3hVU2F4VDRXQ2xiZGxBZFFoQ205R0wzcURjWjU2WE5IWlNBOTdRSVNRQ1JXTXFtYUZYV2FFNURBdkkyeUp3cV83WkM2SXBFT29ZZ3hMVEFmLXRfMzNFeDZEUQ?oc=5,,False,
Republicans eye healthcare cuts to fund Iran war: Report,2026-03-31T07:00:00+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMipAFBVV95cUxPOHFsVVhXRWFrbjQ0UTZVQjFqUjNvdUY3X3lPM0tBZ2xKRGxHLXF3YnhXZjVsQnhlSEVWWlJuWDZFMEpZbUZTOXVGdjdpRjJMMWhDN2pCUUdUc0E3anNrdkx1UGE2NDZCSnJFWUdpUXhVWmlwdlgxcEQ1Tk0wdmg4ZVMwR0NTaS0wbVRsMUx1X1hCaXUwUVEzdC1CdzdUdHBLNG5XVw?oc=5,,False,
Hospitals’ $1.6 trillion cost crisis: 10 things to know,2026-04-27T15:02:28+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMioAFBVV95cUxNcmx3WFg5T0FHXzRkTUdyMnQ4TlR0cVF2RFZwYWxrRzR3Qi1NWmw0RmJ5ejdLVmVvOXhmdmNWWk9FbDBjOFAwNmNBRXNzTERWQ2w4X21wWnF5TW1NbnFHMTBxY01lbGlwN3ZJYzAyWWlKbU9lMHNUM1NXWkJXeFFZR1lVS2lVMVVFLXNjOXVwWDZwUmdveVduZW1LM2FlQTdl?oc=5,,False,
‘We cannot cut our way to success’: Hospitals prep for Medicaid crunch,2026-05-07T20:29:58+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMitAFBVV95cUxQRVl6N3JXUUw2bGF2QXJobUc2aW43VHNTeEFpUWZER2VQUVlCeGdxTHJUSHpxaF9tSVEtZHJJdHNsVl9CYTlxd2VjTF8wdGV3SkhJV01RaGNvNkhnaUpJS3ZKb0l1ZnRwY1hRZlk0cENwSnFzWXhSSFNWQ0U0OFdPdGJPNjhudHlNYnVJclE1UkhZeUFsOXlLN0hVSmd3NTcwYXdLdkQwVm5QUUZFakpTemJza1A?oc=5,Medicaid,True,
"The hospitals, health systems cutting jobs in 2026",2026-05-07T21:21:27+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMinAFBVV95cUxObHdCd05zQVdKaVAwa1ExUmZWYVRIRzBzUkkxenJVMlkxMFE5MWdqWU4xSEF4b0RqSE5LWEV3VXl0cHpMNEY3TTdhWW1laUFWbEE0MXBtSy1NRUwyVWlSRnBUSGQ2cW5SZVd4REx6azFyYVRCcVhtc3lqdkFsR2xTUEVkeGFZMFlJTEVMZVRteGVmaXZEbG5NbGhORkY?oc=5,,False,
Retirees trade vacation homes for ‘med-à-terres’ near specialists,2026-05-28T13:51:08+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMirwFBVV95cUxQdER5ZGowYzFidVYzVFlRSjQyZ3lXNXdIZHh6QzAzemhuc3dERHRKLThMYUV3TEN6d0tfclpLUWxXeGdaWHVvNTkyampGTUo2SG5pYjlkdmNzbFZSSGZINjNCaVNQZ3V0b1ZGbUk3RGticTZza0pEX2ZjNUlXd0tsWnpkd1V1aU85ek9VOFRiRUdvR1AxWUFoSGEwbDJocFZFbFJiMFhKeDNUeWlJNlk0?oc=5,,False,
Quorum Health to go nonprofit: CEO says it’s about ‘survival’,2026-05-22T12:32:04+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMipwFBVV95cUxQT2NIQVhQY2gyczlqYVZCNW9udVFycFpjdXNySVVCY2lieHZtTlJaS2hpcktzOHB6LXhYOFptb2NqSWZIckJEeUlKbHFRU0tYTzltbzJLZVh5VEI5VVVfQUdPS3g2Z0hjTks1amNTb0NzZEhYUmdqREM4cHpjMHFjSDFrUkNMUVRNcEs4enNubVJXLTJaSTN1dU5TTUFWeldsRzF6X0w4cw?oc=5,,False,
CMS to cap state Medicaid payments to save $775B: 7 things to know,2026-05-20T22:11:26+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMisAFBVV95cUxPTUd3UC11YnM2WVhFOG5qcDl2cDlLYVFWVmJUZFlRcURkay02aFpUcDF6MjBXbGh4dVVKTEtwdGNCR2lqbmpzcnBIVEwyTW16UGZlbXdNVGstNUU5S1dRSnVFNEtTUzNMRzVueTc1MGhZSzlRMFVIWmE4Zl9WWThqRWw1QTdkTHNhOE04cmFNbkVDR3N2a3N6bWxzcFlKck9wbHNBTVJ2RWpDZXNkaUVfbg?oc=5,Medicaid,True,
41 health systems with strong finances,2026-05-20T16:41:00+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMijgFBVV95cUxPak5CTzUzX1IxU29sbEZBWDYzakE0UnpxdGZfMXdGakF6RzZHeDJBMHM1UndfcTFhcTZNa3VjZ2ZQNUpBQUJfQUU0eVNaZnZGbXc5S21xMFM0UVRQX1hjVzhNX011Z2VhQlZZZWh3QTFCQTNkVDVvZWJCUi1XVFNueVhXcFdrQTNzLUc3Rkh3?oc=5,,False,
64 health systems ranked by total assets,2026-05-29T17:17:55+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMikAFBVV95cUxOdUs4ZDhldTB6NkVzemtFNEozM1lPUXl6LUNkd09EWjYzcGdKVzl6TG9fZWNoM1ZmaXVmay05cUVNTWp1SmhsZUk3anBEUUNHQ3gwTWdmNWNFd3V2UkVtSkhoa0pvSERvLUp3TV9ZSFFoZWc5UWNpaVB3Q2NrQ3djelhzeFBSOVdrSlJ4YnFHUm8?oc=5,,False,
CMS to suspend enrollment into Elevance’s Medicare Advantage plans,2026-03-02T08:00:00+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMisgFBVV95cUxNdFJHS3M4UXJwLVh6OUxad2ROdVpaUXU2X2dXR1RZUlZYc3hLc2JURmYxai14U0VBLUZYUVY4ZC1EVlJzOWdvdkpGZXQtbFJBWmlNN3F3cHQ4bExGd1l5WW1lZGlGblpYMllSaGE4dGpINzM5aUxvc0NTcVcxbzNzbUZVc0RRMVVLOWFmOVRmclJOaVEyaXpPaXhBbnZVYWl3RURZaExZcnFLdnlHMmMxVHFn?oc=5,Medicare Advantage,True,
"Lawmakers introduce bill to reverse Medicaid cuts, expand Medicare benefits",2026-03-02T08:00:00+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMivgFBVV95cUxQMTdOMTNlZzFuVElybG5uc2xIUUtBeWNUV1Jpd1dHVjdxdEg3cGxveFdub19QZEhVYzAwSnZUS3dCbTR0WDc3OUljbDdHRmdTa1hVd1ZzVHl6bExEcUFYZUpJTHVreUFTb1lEYkk1ZEJubnNmRUNEYzE5RV9vaEJJVWgzWENRV1pFLTBRUHhWRU96NG9kWmJMNHI1MXl4M0h5Yzd3ckFyYVNCOUViU2c0bWl5S3BTOFhfMXNGcW5B?oc=5,Medicaid,True,
"720 hospitals at risk of closure, by state",2026-06-01T20:39:58+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMikgFBVV95cUxPWDBuMlM3azlrWW8zSWI4dDRhQlVVcVowTC1TX3ExN0lLYnFkSFJadVhyTzNITXl1VE1FSXozSXdLTGZINVVwcEZSMDR1OERHdlF4Qkw2SnB2OGxVUXV2T1BZQnZYeWRLem1hWDk3ZFJSZzlnRF8yT0wxeTRkbjlpQzQ5ZEVFYW04ci15bHgtcFZzUQ?oc=5,,False,
Eli Lilly gives hospitals 5 days to comply with 340B policy,2026-06-02T15:41:17+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQRVdNS0lTUWVwOTJRYVVIOTRlRTE3RGtaeXNTZEdoZlhka3l6ZnNhS3B5eFNBNGFDcE53ZU9VWExXeTFJSF9qYjVfcnpoY0JIdnNvVUZqRXZiRWpXX1dCU3RmaGw1R1hORjZrb0hDdkdBdlk1b2RuMDNYTVktWEl6YzNlZWRSN2NpZ1JzcnVnb2lRZTFmYmxCanpOaHNacUR0UVE5V0pFZ045Zw?oc=5,,False,
28 hospital price transparency fines from highest to lowest,2026-02-09T08:00:00+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOVlNvbU5GYlpteVdIVmpyaFg3ejFsWmJlTF9iOVdOM1VGZFlxVXhRSTMzT1dmN2xOcXpKZG5EVkRTM3hpdWVTR29MZXptOHBkbXNvRHNqQVRNRlpOT3pORmtlTHczOEV5NXBrclo4UW05UVQtRW1INF9LSEFvamw1bzZ5b3lwV3g5TTFUaWJsSEVpNldHZVFhVlpidm5oUzB5RjdjZUxkTGtxUQ?oc=5,,False,
